keyspace_name,table_name,column_name,clustering_order,column_name_bytes,kind,position,type,tag,note
educator,active_course,accountid,none,0x6163636f756e746964,partition_key,0,uuid,no no no tags,acoount id
educator,active_course,city,none,0x63697479,regular,-1,text,Primary Column,This column is used as the primary identifier for the table.
educator,active_course,closedreason,none,0x636c6f736564726561736f6e,regular,-1,text,closed ,closed
educator,active_course,closedtime,none,0x636c6f73656474696d65,regular,-1,timestamp,time of closing,closing time is updated
educator,active_course,costcenter,none,0x636f737463656e746572,regular,-1,text,cost  center,center of cost
educator,active_course,country,none,0x636f756e747279,regular,-1,text,no tags,
educator,active_course,courseid,desc,0x636f757273656964,clustering,0,timeuuid,no tags,
educator,active_course,coursetitle,none,0x636f757273657469746c65,regular,-1,text,no tags,
educator,active_course,coursetype,none,0x636f7572736574797065,regular,-1,text,no tags,
educator,active_course,enddate,none,0x656e6464617465,regular,-1,date,no tags,
educator,active_course,enrolledspots,none,0x656e726f6c6c656473706f7473,regular,-1,int,no tags,
educator,active_course,institutelogo,none,0x696e737469747574656c6f676f,regular,-1,text,no tags,
educator,active_course,institutephoto,none,0x696e7374697475746570686f746f,regular,-1,text,no tags,
educator,active_course,institutionid,none,0x696e737469747574696f6e6964,regular,-1,uuid,no tags,
educator,active_course,institutionname,none,0x696e737469747574696f6e6e616d65,regular,-1,text,no tags,
educator,active_course,instructorid,none,0x696e7374727563746f726964,regular,-1,uuid,no tags,
educator,active_course,instructorname,none,0x696e7374727563746f726e616d65,regular,-1,text,no tags,
educator,active_course,interestedcount,none,0x696e7465726573746564636f756e74,regular,-1,int,no tags,
educator,active_course,iscertificationrequired,none,0x697363657274696669636174696f6e7265717569726564,regular,-1,boolean,no tags,
educator,active_course,iscoursedescriptioncomplete,none,0x6973636f757273656465736372697074696f6e636f6d706c657465,regular,-1,boolean,no tags,
educator,active_course,iscreditrequired,none,0x69736372656469747265717569726564,regular,-1,boolean,no tags,
educator,active_course,isgeneralinfocomplete,none,0x697367656e6572616c696e666f636f6d706c657465,regular,-1,boolean,no tags,
educator,active_course,islockinterest,none,0x69736c6f636b696e746572657374,regular,-1,boolean,no tags,
educator,active_course,isprerequisitcoursesrequired,none,0x69737072657265717569736974636f75727365737265717569726564,regular,-1,boolean,no tags,
educator,active_course,lastcmlactivityby,none,0x6c617374636d6c61637469766974796279,regular,-1,text,no tags,
educator,active_course,lastcmlactivitytime,none,0x6c617374636d6c616374697669747974696d65,regular,-1,timestamp,no tags,
educator,active_course,lastupdated,none,0x6c61737475706461746564,regular,-1,timestamp,no tags,
educator,active_course,lastupdatedby,none,0x6c617374757064617465646279,regular,-1,uuid,no tags,
educator,active_course,matchcount,none,0x6d61746368636f756e74,regular,-1,int,no tags,
educator,active_course,matchfound,none,0x6d61746368666f756e64,regular,-1,boolean,no tags,
educator,active_course,numberofspots,none,0x6e756d6265726f6673706f7473,regular,-1,int,no tags,
educator,active_course,opeid,none,0x6f70656964,regular,-1,text,no tags,
